Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for UK
Areal series, starting in 1891
Last updated 01-May-2020 15:15
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1961   16.2   14.3    7.2   16.1    7.7    9.1   10.7   15.3   14.7   18.9   12.4   13.6    47.2    31.0    35.1    46.1   156.2
1962   18.4   10.3    9.6   11.6   13.4    7.6    9.4   16.1   15.4    8.2   13.1   14.0    42.3    34.6    33.1    36.7   147.1
1963    7.2    6.3   16.3   14.9   14.5   14.0   11.8   17.4   12.4   14.0   20.5    7.4    27.5    45.8    43.2    46.9   156.7
1964    8.0    7.9   10.4   14.4   12.2   12.2   10.2   11.9   11.0   11.3   12.2   16.0    23.3    37.0    34.3    34.6   137.8
1965   16.2    5.8   12.1   14.7   13.5   13.1   14.3   13.3   16.0    8.0   15.5   20.5    38.1    40.3    40.7    39.5   163.0
1966   10.9   16.3   12.4   14.2   13.7   14.5   12.9   12.3   10.2   17.1   15.4   20.6    47.6    40.3    39.7    42.7   170.4
1967   14.3   13.0   14.3   10.1   20.4    7.7   11.8   13.0   15.7   21.3   13.4   15.5    47.8    44.7    32.5    50.4   170.3
1968   15.1    9.3   12.9   11.4   13.0   12.3   10.6   10.6   15.7   15.0   11.2   11.5    40.0    37.3    33.5    41.9   148.6
1969   17.1   12.9    9.5   11.2   18.1   10.2    8.8   12.1    9.1    8.7   17.2   14.9    41.5    38.8    31.1    35.1   149.8
1970   17.7   15.8   15.3   16.3    8.2    8.2   14.9   10.1   13.7   13.5   20.5   12.5    48.4    39.8    33.1    47.7   166.6
1971   16.1    9.1   12.2    6.6   10.8   12.5    8.0   13.9    7.1   11.2   14.6   10.2    37.8    29.6    34.4    32.8   132.2
1972   17.2   13.6   13.0   13.4   15.2   16.1    9.5    8.0    5.2    6.9   15.8   14.5    41.0    41.6    33.7    27.8   148.4
1973   11.0   11.3    7.6   11.7   14.7    8.0   11.4   10.6   11.5   10.5   12.3   15.5    36.8    34.0    30.0    34.3   136.0
1974   19.5   15.2   10.1    2.9   10.5   10.7   14.2   13.9   19.6   16.2   18.6   18.2    50.1    23.5    38.8    54.4   169.6
1975   20.9    7.1   13.0   15.7    6.9    6.0   12.1    9.2   15.7    7.9   13.9    9.8    46.1    35.6    27.3    37.5   138.1
1976   14.2    9.9   10.9    6.5   14.9    6.9    7.3    3.4   14.4   20.8   13.7   14.4    33.9    32.3    17.6    48.8   137.2
1977   15.4   17.8   16.2   15.0    9.4   11.1    7.1   11.6   10.6   13.8   17.4   14.1    47.6    40.6    29.8    41.8   159.5
1978   17.2   13.6   17.7    9.8    7.3   10.9   11.8   13.3   13.2    8.8   13.1   19.0    44.9    34.8    36.1    35.0   155.8
1979   14.9    8.7   18.9   15.0   17.1    9.5    9.3   14.2   10.5   14.3   17.2   18.2    42.7    51.0    33.0    42.1   167.9
1980   12.6   14.3   16.4    4.5    5.6   17.0   12.9   13.1   14.8   17.1   15.1   17.3    45.1    26.4    43.0    47.1   160.8
1981   15.7    9.3   19.5    7.3   16.6   10.7   11.5    6.6   16.0   19.3   15.0   12.9    42.3    43.5    28.9    50.3   160.5
1982   13.8   11.0   15.9    6.5    9.8   13.2    6.4   16.0   14.2   17.4   18.9   15.8    37.7    32.1    35.7    50.6   158.9
1983   18.0    8.7   17.2   15.5   17.8    8.4    5.8    5.9   15.6   16.7    7.5   17.1    42.6    50.5    20.1    39.8   154.3
1984   21.0   11.7   10.7    5.3    7.4    8.5    6.6    8.0   16.7   17.0   18.0   16.9    49.9    23.5    23.1    51.8   148.0
1985   12.8    5.2   14.3   14.5   10.3   15.0   15.0   20.7   11.8    7.5   13.7   18.0    34.8    39.2    50.6    32.9   158.7
1986   19.5    4.2   16.7   14.5   17.5    7.3   11.5   13.9    5.6   15.1   18.0   20.4    41.8    48.7    32.7    38.7   164.3
1987    7.8   10.4   15.1    9.7   11.0   16.5   12.2   11.3   13.7   17.4   12.5   11.0    38.5    35.8    40.1    43.6   148.7
1988   21.1   13.8   18.6    9.1   10.8    6.2   20.6   15.1   12.1   14.5    9.1   11.7    45.9    38.4    41.9    35.7   162.6
1989   12.2   15.9   17.1   13.7    6.1    9.4    6.4   13.0    8.5   16.6    8.9   11.8    39.8    37.0    28.8    34.0   139.7
1990   20.8   19.6   10.7   11.5    6.4   14.8    7.8   11.1   11.0   15.7   12.2   14.9    52.2    28.6    33.8    39.0   156.5
1991   13.5   10.4   13.5   11.4    5.2   18.1   11.4    7.7   10.3   12.1   16.2    8.9    38.7    30.1    37.3    38.7   138.8
1992    7.4   12.8   18.7   15.1    8.9    6.5   13.0   18.2   15.9   13.0   20.2   12.1    29.1    42.8    37.7    49.0   161.8
1993   20.3    6.0    8.9   14.1   12.2   10.6   15.3   10.4   12.7   11.7    9.5   21.9    38.3    35.1    36.3    33.9   153.5
